# timestamp tx ty tz qx qy qz qw
1734442413.047244 15.195341 -9.003703 1.776675 -0.258796 0.093404 0.853687 0.442174
1734442413.053056 15.188618 -8.996775 1.776274 -0.259347 0.093813 0.854372 0.440440
1734442413.057173 15.183857 -8.991854 1.775928 -0.259739 0.094087 0.854856 0.439209
1734442413.063058 15.177056 -8.984794 1.775344 -0.260291 0.094472 0.855535 0.437474
1734442413.067260 15.172207 -8.979734 1.774862 -0.260673 0.094748 0.856000 0.436276
1734442413.073055 15.165528 -8.972723 1.774108 -0.261165 0.095137 0.856604 0.434709
1734442413.077385 15.160548 -8.967458 1.773476 -0.261497 0.095446 0.857017 0.433626
1734442413.082936 15.154181 -8.960674 1.772579 -0.261863 0.095873 0.857492 0.432370
1734442413.087166 15.149343 -8.955475 1.771830 -0.262083 0.096231 0.857813 0.431519
1734442413.093091 15.142590 -8.948152 1.770686 -0.262303 0.096769 0.858199 0.430497
1734442413.097559 15.137515 -8.942597 1.769750 -0.262403 0.097210 0.858442 0.429850
1734442413.103053 15.127244 -8.936970 1.767321 -0.262505 0.098408 0.860188 0.426009
1734442413.107649 15.121908 -8.931254 1.766186 -0.262506 0.098936 0.860326 0.425607
1734442413.112961 15.115761 -8.924610 1.764789 -0.262455 0.099579 0.860423 0.425292
1734442413.117424 15.110613 -8.918998 1.763545 -0.262373 0.100153 0.860456 0.425143
1734442413.123113 15.104067 -8.911806 1.761870 -0.262228 0.100908 0.860439 0.425087
1734442413.127059 15.099538 -8.906795 1.760651 -0.262096 0.101438 0.860396 0.425128
1734442413.132893 15.092854 -8.899359 1.758766 -0.261873 0.102211 0.860299 0.425278
1734442413.137124 15.088014 -8.893948 1.757338 -0.261702 0.102749 0.860207 0.425438
1734442413.143064 15.081224 -8.886328 1.755249 -0.261450 0.103470 0.860065 0.425707
1734442413.147431 15.076235 -8.880714 1.753654 -0.261260 0.103966 0.859959 0.425917
1734442413.152919 15.069966 -8.873645 1.751579 -0.261025 0.104533 0.859829 0.426184
1734442413.157218 15.065054 -8.868099 1.749901 -0.260853 0.104930 0.859736 0.426379
1734442413.163055 15.058383 -8.860559 1.747555 -0.260632 0.105408 0.859634 0.426602
1734442413.167151 15.053699 -8.855262 1.745865 -0.260475 0.105701 0.859584 0.426726
1734442413.172954 15.047063 -8.847755 1.743415 -0.260247 0.106062 0.859543 0.426859
1734442413.177248 15.042150 -8.842194 1.741560 -0.260066 0.106291 0.859539 0.426920
1734442413.183057 15.035506 -8.834667 1.739002 -0.259784 0.106552 0.859573 0.426958
1734442413.187347 15.030600 -8.829103 1.737079 -0.259534 0.106706 0.859628 0.426960
1734442413.193079 15.024051 -8.821661 1.734469 -0.259135 0.106873 0.859740 0.426935
1734442413.197699 15.018776 -8.815655 1.732334 -0.258758 0.106965 0.859856 0.426908
1734442413.202771 15.018451 -8.813072 1.723843 -0.256808 0.108098 0.859512 0.428490
1734442413.207245 15.013551 -8.807369 1.721510 -0.256310 0.108092 0.859663 0.428486
1734442413.213056 15.007197 -8.799951 1.718455 -0.255555 0.108014 0.859884 0.428514
1734442413.217460 15.002391 -8.794321 1.716122 -0.254902 0.107900 0.860066 0.428566
1734442413.223055 14.996296 -8.787156 1.713144 -0.253971 0.107698 0.860310 0.428680
1734442413.227132 14.991864 -8.781925 1.710967 -0.253228 0.107521 0.860492 0.428799
1734442413.233055 14.985437 -8.774307 1.707801 -0.252082 0.107257 0.860741 0.429041
1734442413.237147 14.981005 -8.769031 1.705614 -0.251253 0.107100 0.860895 0.429257
1734442413.243054 14.974621 -8.761391 1.702462 -0.250022 0.106952 0.861080 0.429640
1734442413.247584 14.969736 -8.755513 1.700053 -0.249067 0.106923 0.861189 0.429984
1734442413.252931 14.963982 -8.748551 1.697222 -0.247942 0.107029 0.861272 0.430442
1734442413.257287 14.959303 -8.742861 1.694929 -0.247043 0.107243 0.861304 0.430842
1734442413.262764 14.953433 -8.735688 1.692067 -0.245955 0.107687 0.861301 0.431359
1734442413.267262 14.948619 -8.729784 1.689737 -0.245112 0.108203 0.861275 0.431760
1734442413.273067 14.942413 -8.722154 1.686762 -0.244097 0.109055 0.861229 0.432213
1734442413.277284 14.937908 -8.716613 1.684625 -0.243419 0.109786 0.861205 0.432458
1734442413.283089 14.931703 -8.708999 1.681728 -0.242565 0.110904 0.861223 0.432616
1734442413.287452 14.927032 -8.703293 1.679591 -0.241965 0.111779 0.861309 0.432557
1734442413.293112 14.920957 -8.695930 1.676883 -0.241221 0.112882 0.861551 0.432205
1734442413.297605 14.916120 -8.690122 1.674790 -0.240642 0.113660 0.861876 0.431674
1734442413.303033 14.909445 -8.688788 1.679554 -0.238634 0.113918 0.862783 0.430909
1734442413.307292 14.904782 -8.683524 1.677860 -0.238015 0.114266 0.863417 0.429887
1734442413.313090 14.898405 -8.676415 1.675629 -0.237107 0.114378 0.864508 0.428164
1734442413.317271 14.893786 -8.671326 1.674068 -0.236466 0.114206 0.865420 0.426720
1734442413.323088 14.887334 -8.664279 1.671965 -0.235653 0.113675 0.866800 0.424503
1734442413.327626 14.882283 -8.658800 1.670390 -0.235085 0.113103 0.867921 0.422677
1734442413.333088 14.876189 -8.652208 1.668586 -0.234480 0.112299 0.869270 0.420450
1734442413.337196 14.871600 -8.647243 1.667305 -0.234083 0.111679 0.870246 0.418814
1734442413.342821 14.865311 -8.640417 1.665659 -0.233624 0.110901 0.871478 0.416710
1734442413.347247 14.860364 -8.635015 1.664452 -0.233347 0.110386 0.872330 0.415216
1734442413.353088 14.853846 -8.627831 1.662974 -0.233200 0.110103 0.873062 0.413833
1734442413.357371 14.849076 -8.622520 1.661972 -0.233092 0.109896 0.873598 0.412817
1734442413.363018 14.842800 -8.615465 1.660762 -0.233032 0.109991 0.873925 0.412131
1734442413.367293 14.838057 -8.610083 1.659931 -0.232987 0.110063 0.874173 0.411612
1734442413.373088 14.831641 -8.602741 1.658918 -0.232823 0.110398 0.874216 0.411524
1734442413.377270 14.827018 -8.597410 1.658267 -0.232705 0.110640 0.874247 0.411461
1734442413.383027 14.820663 -8.590035 1.657473 -0.232416 0.111125 0.874073 0.411862
1734442413.387463 14.815771 -8.584323 1.656939 -0.232193 0.111498 0.873940 0.412170
1734442413.393112 14.809545 -8.577019 1.656353 -0.231888 0.112162 0.873596 0.412889
1734442413.397520 14.804689 -8.571297 1.655967 -0.231651 0.112679 0.873328 0.413449
1734442413.403088 14.791380 -8.562631 1.661710 -0.232351 0.112317 0.874891 0.409834
1734442413.407218 14.786588 -8.557209 1.661662 -0.232211 0.113023 0.874534 0.410481
1734442413.413051 14.779810 -8.549532 1.661681 -0.232187 0.114387 0.873931 0.411399
1734442413.417213 14.774969 -8.544045 1.661755 -0.232170 0.115360 0.873500 0.412053
1734442413.423026 14.768196 -8.536376 1.661943 -0.232314 0.117019 0.872889 0.412797
1734442413.427268 14.763244 -8.530781 1.662141 -0.232418 0.118230 0.872442 0.413339
1734442413.433089 14.756431 -8.523113 1.662494 -0.232704 0.120048 0.871925 0.413744
1734442413.437656 14.751070 -8.517113 1.662834 -0.232989 0.121486 0.871581 0.413889
1734442413.443090 14.744670 -8.509997 1.663305 -0.233399 0.123175 0.871258 0.413838
1734442413.447197 14.739817 -8.504637 1.663708 -0.233709 0.124452 0.871012 0.413799
1734442413.453099 14.732815 -8.496964 1.664353 -0.234321 0.126138 0.870892 0.413195
1734442413.457713 14.727318 -8.490995 1.664907 -0.234865 0.127365 0.870897 0.412498
1734442413.462849 14.721174 -8.484380 1.665574 -0.235545 0.128606 0.871013 0.411479
1734442413.467422 14.715683 -8.478518 1.666207 -0.236220 0.129589 0.871207 0.410373
1734442413.472736 14.709275 -8.471734 1.666986 -0.237078 0.130587 0.871530 0.408872
1734442413.477598 14.703392 -8.465551 1.667734 -0.237923 0.131357 0.871902 0.407338
1734442413.483089 14.696728 -8.458591 1.668615 -0.238934 0.132058 0.872394 0.405463
1734442413.487232 14.691688 -8.453354 1.669304 -0.239697 0.132586 0.872761 0.404048
1734442413.493113 14.684520 -8.445932 1.670310 -0.240864 0.132978 0.873375 0.401891
1734442413.497800 14.675265 -8.439271 1.670896 -0.241908 0.135882 0.872126 0.403005
1734442413.502754 14.669077 -8.432991 1.671799 -0.242898 0.135964 0.872644 0.401256
1734442413.507321 14.663376 -8.427192 1.672638 -0.243792 0.135939 0.873092 0.399744
1734442413.513025 14.656270 -8.419929 1.673685 -0.244873 0.135797 0.873592 0.398037
1734442413.517262 14.651001 -8.414513 1.674457 -0.245644 0.135624 0.873904 0.396934
1734442413.523028 14.643855 -8.407109 1.675489 -0.246640 0.135320 0.874230 0.395701
1734442413.527169 14.638738 -8.401764 1.676215 -0.247311 0.135057 0.874383 0.395035
1734442413.533043 14.631511 -8.394141 1.677210 -0.248184 0.134652 0.874472 0.394426
1734442413.537259 14.626345 -8.388637 1.677895 -0.248758 0.134346 0.874439 0.394242
1734442413.543087 14.619235 -8.380983 1.678789 -0.249484 0.133916 0.874249 0.394352
1734442413.547295 14.614125 -8.375424 1.679392 -0.249956 0.133608 0.874007 0.394694
1734442413.552801 14.607468 -8.368109 1.680122 -0.250508 0.133215 0.873556 0.395475
1734442413.557281 14.602076 -8.362126 1.680661 -0.250901 0.132900 0.873085 0.396369
1734442413.563090 14.595115 -8.354332 1.681280 -0.251352 0.132505 0.872352 0.397828
1734442413.567466 14.589891 -8.348436 1.681685 -0.251653 0.132211 0.871716 0.399126
1734442413.573032 14.583268 -8.340916 1.682118 -0.251989 0.131837 0.870821 0.400987
1734442413.577296 14.578208 -8.335143 1.682385 -0.252217 0.131538 0.870087 0.402534
1734442413.583090 14.571349 -8.327292 1.682653 -0.252495 0.131109 0.869040 0.404753
1734442413.587453 14.566192 -8.321377 1.682780 -0.252688 0.130757 0.868233 0.406477
1734442413.593112 14.559513 -8.313710 1.682848 -0.252914 0.130261 0.867180 0.408736
1734442413.597573 14.554254 -8.307673 1.682823 -0.253079 0.129837 0.866358 0.410508
1734442413.603089 14.551220 -8.303110 1.680264 -0.253887 0.128212 0.865845 0.411602
1734442413.607290 14.546382 -8.297524 1.680034 -0.254027 0.127753 0.865113 0.413193
1734442413.613089 14.539707 -8.289835 1.679604 -0.254215 0.127089 0.864147 0.415298
1734442413.617385 14.534766 -8.284157 1.679203 -0.254347 0.126571 0.863472 0.416778
1734442413.623089 14.528207 -8.276643 1.678563 -0.254492 0.125865 0.862639 0.418624
1734442413.627313 14.523353 -8.271098 1.678008 -0.254579 0.125333 0.862072 0.419897
1734442413.632865 14.516978 -8.263839 1.677177 -0.254656 0.124618 0.861401 0.421437
1734442413.637191 14.512013 -8.258206 1.676449 -0.254686 0.124055 0.860940 0.422526
1734442413.643089 14.505247 -8.250558 1.675348 -0.254666 0.123281 0.860402 0.423858
1734442413.647604 14.500070 -8.244729 1.674420 -0.254613 0.122684 0.860056 0.424763
1734442413.653091 14.493782 -8.237672 1.673196 -0.254505 0.121975 0.859716 0.425720
1734442413.657135 14.489149 -8.232488 1.672227 -0.254402 0.121475 0.859517 0.426326
1734442413.663087 14.482335 -8.224884 1.670701 -0.254223 0.120790 0.859292 0.427081
1734442413.667472 14.477319 -8.219299 1.669503 -0.254075 0.120342 0.859173 0.427534
1734442413.673090 14.470896 -8.212163 1.667878 -0.253880 0.119852 0.859069 0.427996
1734442413.677215 14.466181 -8.206934 1.666621 -0.253736 0.119554 0.859026 0.428252
1734442413.683090 14.459472 -8.199506 1.664746 -0.253520 0.119224 0.859008 0.428508
1734442413.687639 14.454282 -8.193767 1.663226 -0.253336 0.119050 0.859029 0.428623
1734442413.693112 14.448042 -8.186875 1.661325 -0.253087 0.118937 0.859095 0.428668
1734442413.697294 14.443280 -8.181618 1.659820 -0.252872 0.118916 0.859176 0.428640
1734442413.703089 14.429209 -8.175767 1.652549 -0.251289 0.117936 0.859027 0.430136
1734442413.707532 14.423908 -8.170287 1.650690 -0.250978 0.118039 0.859174 0.429997
1734442413.712993 14.417395 -8.163563 1.648349 -0.250550 0.118233 0.859386 0.429769
1734442413.717272 14.412296 -8.158305 1.646475 -0.250185 0.118432 0.859575 0.429548
1734442413.723089 14.405364 -8.151171 1.643878 -0.249664 0.118731 0.859863 0.429192
1734442413.727368 14.400263 -8.145934 1.641936 -0.249265 0.118957 0.860103 0.428882
1734442413.733089 14.393438 -8.138948 1.639302 -0.248727 0.119233 0.860459 0.428403
1734442413.737248 14.388471 -8.133882 1.637366 -0.248335 0.119404 0.860745 0.428007
1734442413.742869 14.381747 -8.127048 1.634724 -0.247812 0.119593 0.861167 0.427409
1734442413.747274 14.376471 -8.121701 1.632636 -0.247411 0.119711 0.861518 0.426900
1734442413.753089 14.369494 -8.114648 1.629862 -0.246914 0.119836 0.861994 0.426192
1734442413.757504 14.364190 -8.109296 1.627745 -0.246568 0.119922 0.862354 0.425639
1734442413.762940 14.357651 -8.102701 1.625129 -0.246193 0.120033 0.862786 0.424950
1734442413.767603 14.352038 -8.097040 1.622883 -0.245922 0.120137 0.863132 0.424374
1734442413.773089 14.345431 -8.090369 1.620245 -0.245651 0.120289 0.863501 0.423736
1734442413.777349 14.340301 -8.085178 1.618204 -0.245447 0.120431 0.863757 0.423293
1734442413.783091 14.333391 -8.078164 1.615472 -0.245152 0.120653 0.864054 0.422793
1734442413.787320 14.328307 -8.072983 1.613477 -0.244904 0.120841 0.864235 0.422514
1734442413.793114 14.321356 -8.065863 1.610774 -0.244498 0.121131 0.864425 0.422276
1734442413.797458 14.316154 -8.060506 1.608774 -0.244135 0.121378 0.864524 0.422213
1734442413.803088 14.305301 -8.050293 1.606453 -0.242692 0.123011 0.865859 0.419830
1734442413.807504 14.299907 -8.044720 1.604474 -0.242221 0.123329 0.865859 0.420009
1734442413.813089 14.293099 -8.037653 1.602012 -0.241594 0.123773 0.865791 0.420379
1734442413.817429 14.287820 -8.032149 1.600133 -0.241104 0.124140 0.865688 0.420764
1734442413.823090 14.280947 -8.024959 1.597729 -0.240485 0.124623 0.865494 0.421374
1734442413.827418 14.275702 -8.019457 1.595927 -0.240045 0.124973 0.865309 0.421900
1734442413.833120 14.268803 -8.012211 1.593602 -0.239505 0.125383 0.865038 0.422641
1734442413.837327 14.263721 -8.006869 1.591921 -0.239129 0.125622 0.864834 0.423201
1734442413.842800 14.257120 -7.999926 1.589780 -0.238632 0.125827 0.864584 0.423930
1734442413.847185 14.251842 -7.994365 1.588099 -0.238213 0.125935 0.864401 0.424507
1734442413.853089 14.244756 -7.986872 1.585880 -0.237655 0.126096 0.864149 0.425284
1734442413.857673 14.239271 -7.981044 1.584197 -0.237244 0.126308 0.863928 0.425899
1734442413.862924 14.233008 -7.974350 1.582336 -0.236742 0.126729 0.863648 0.426621
1734442413.867096 14.228043 -7.969012 1.580925 -0.236282 0.127236 0.863412 0.427202
1734442413.873088 14.220926 -7.961320 1.579027 -0.235521 0.128224 0.863068 0.428022
1734442413.877494 14.215699 -7.955645 1.577731 -0.234917 0.129134 0.862818 0.428582
1734442413.883007 14.209155 -7.948526 1.576230 -0.234152 0.130465 0.862523 0.429192
1734442413.887208 14.204161 -7.943091 1.575176 -0.233597 0.131575 0.862326 0.429552
1734442413.893113 14.197121 -7.935447 1.573824 -0.232871 0.133192 0.862116 0.429869
1734442413.897668 14.198854 -7.934127 1.572731 -0.231698 0.134901 0.861447 0.431308
1734442413.902787 14.192999 -7.927664 1.571728 -0.231195 0.136151 0.861453 0.431173
1734442413.907290 14.187820 -7.921992 1.570940 -0.230803 0.137102 0.861563 0.430861
1734442413.913093 14.181101 -7.914697 1.570048 -0.230373 0.138107 0.861846 0.430204
1734442413.917530 14.175930 -7.909135 1.569455 -0.230115 0.138697 0.862167 0.429510
1734442413.923089 14.169412 -7.902179 1.568814 -0.229882 0.139223 0.862688 0.428417
1734442413.927322 14.164419 -7.896890 1.568400 -0.229781 0.139468 0.863161 0.427438
1734442413.933089 14.157584 -7.889689 1.567931 -0.229771 0.139618 0.863885 0.425928
1734442413.937491 14.152342 -7.884191 1.567641 -0.229877 0.139635 0.864470 0.424676
1734442413.943012 14.145748 -7.877288 1.567353 -0.230168 0.139579 0.865209 0.423029
1734442413.947205 14.140730 -7.872033 1.567186 -0.230505 0.139512 0.865753 0.421752
1734442413.953035 14.133745 -7.864701 1.567020 -0.231114 0.139436 0.866459 0.419991
1734442413.957268 14.128673 -7.859355 1.566944 -0.231652 0.139411 0.866916 0.418759
1734442413.963090 14.121703 -7.851964 1.566895 -0.232500 0.139424 0.867454 0.417166
1734442413.967474 14.116465 -7.846369 1.566898 -0.233211 0.139476 0.867783 0.416067
1734442413.973041 14.109828 -7.839225 1.566947 -0.234186 0.139592 0.868091 0.414836
1734442413.977521 14.104500 -7.833441 1.567017 -0.235027 0.139725 0.868244 0.413994
1734442413.982988 14.098019 -7.826340 1.567134 -0.236124 0.139932 0.868309 0.413164
1734442413.987400 14.092807 -7.820575 1.567250 -0.237070 0.140126 0.868255 0.412669
1734442413.993038 14.086170 -7.813161 1.567421 -0.238353 0.140397 0.868051 0.412266
1734442413.997205 14.081283 -7.807646 1.567560 -0.239356 0.140619 0.867794 0.412151
1734442414.003089 14.068908 -7.798033 1.573955 -0.242192 0.140237 0.868413 0.409312
1734442414.007269 14.063844 -7.792387 1.574324 -0.243303 0.140510 0.867936 0.409569
1734442414.013090 14.056822 -7.784475 1.574843 -0.244897 0.140945 0.867129 0.410178
1734442414.017214 14.051870 -7.778837 1.575211 -0.246045 0.141291 0.866461 0.410784
1734442414.023090 14.044845 -7.770758 1.575732 -0.247700 0.141843 0.865384 0.411869
1734442414.027632 14.039441 -7.764481 1.576128 -0.248991 0.142316 0.864463 0.412860
1734442414.032991 14.033097 -7.757044 1.576585 -0.250503 0.142918 0.863297 0.414175
